N,Pozv_Structura,Kol-vo,Power,Name_Ru,Q_Rus,EOB
1,C2.C3.C4.C5. T3.T4.T5.T6.T7. T12 L1.L2,13,52%,Альпийские горы,Умение работать с источником энергии данной при рождении.,ЛРЗД
2,C1 T1.T2.T3. T8.T9.T10.T11.T12. L1L2  S(S1S2),12,48%,Букет Роз,Умение быть благодарным Матери без всяких но!,ЗДСМ
3,C3C4. L1.L2.L3.L4.L5,8,32%,Вино Испании,Умение создавать гармоничные отношения в реальной жизненной ситуации.,ЛРФБ
4,C3.C4.C5.C6.C7. T1.T2.T3 L3.L4.L5  S (S1S2S3),12,48%,"Восход, Начало движения",Умение быть готовым принять решение  и  действовать.,ЛРФБ
5,C6.C7 T1.T2.T3.T4.T5.T6.T7.T8,11,44%,Гавань,"Умение организовать свой рабочий процесс, чтобы работа приносила удовольствие.",ЗДСМ
6,C2.C3.C 4.C5.C6.C7 L1.L2.L3.4.L5,12,48%,Глубина Души,Умение найти свой социальный уровень.,ЛРСМ
7,C1.C2.C3 C7 T1.T2T3T4T5T6T7T8T9,14,56%,Горное озеро,Уметь видеть вокруг себя не ограниченное  пространство возможностей.,ЛРЗДСМФБ
8,C4 T8T9T10T11T12. L1L2L3,10,40%,Деревенский пейзаж,"Умение вспомнить детство, испытать тепло ,свободу и вернуться в реальную жизнь.",ЗДСМ
9,C3C4C5C6C7 T1T2T3T4T5. L3L4,13,52%,Дом рыбака,Умение соблюдать  баланс внешней и внутренней энергии в  организме.,ЛРЗДСМФБ
10,C3C4C5C6C7 T9T10T11. L3L4L5 S ( S1),12,48%,Живое море,Умение принимать жизненные трудности реальной жизни.,ЛРФБ
11,C1C2 C6 C7. T3T4T7T 8T11.T12. L1L4L5   ,15,60%,Зимний букет,Умение ограничивать общение для концентрации жизненной энергии.,ЗД
12,C 1C2C3C4C5C6C7 T8T 9T10T11T12 L1L2,15,60%,Золотое поле,Умение оперативно распределить жизненную энергию на хранение и реализацию.,ФБ
13,C4C5C6C 7 T 1T2T3. L2.L3L4  S (S1S2),11,44%,Золотые рыбы,Умение адекватно сделать выбор из своих желаний.,ЛР
14,C1C2C3. T3T4T5T12. L1L2L3L4  ,13,52%,Зрелые плоды,Уметь найти объединяющий фактор между людьми разных профессий.,ЛРФБ
15,C2C3. T4T5T6T10T11T12. L1L2L3,12,48%,Умеренность чувств,Умение видеть красоту в простоте.,СМФБ
16,C7. T1T2T3T4T5T6T7,9,36%,Корабли,Умение отличить горделивость от честолюбия!,ЛРСМ
17,C7. T1T2T4Y5T6T7. L3L4L5. S ( S1S3),11,44%,Кот и хозяйка,Умение быть в диалоге в семье.,ЛРСМ
18,C1. L3L4L5. ,5,20%,Крыши,Умение справляться с  состоянием печали при негативных ситуациях.,ЛРЗДСМФБ
19,C5C6C7. T1T4T5T6T7T8T9T10. L4L5,14,56%,Лесная поляна,"Умение найти место , в котором можно испытать творческий подъем.",ЛРЗД
20,"C1C2,C3. T4T5T6T7T8T9T10T11,T12  ",13,52%,Лошадь и водопад,Умение требовать от собеседника  быть лаконичным и  искренним.,ЛРФБ
21,"C6C7. T1,T2,T3,T4T5T6. L 3L4L5  S (S1)",12,48%,Мексиканский залив,"Умение ждать  событий, которые могут и  не произойти.",СМ
22,C4C5C6. T5T6T7T8T9T10T11T12   ,12,48%,Мир женщины,Умение принять стабильность и постоянства жизненных процессов.,СМ
23,C3C4C5C6. T2 T3T4T7T8T9T10. L 2L3L4. S (S1S2S3),15,60%,Морской берег,Умение быть категоричным - Да или нет!,ЛРФБ
24,C2C3. T2T3T4T5T6T7T8T9T10. L5.  S (S1S2),13,52%,Навстречу судьбе,Умение отличить  реальное или имитационное движений к цели.,ЛРСМ
25,C1C2C4C5 T1T2T4T5T6T7T8 L2L3L4L5.  S (S1),16,64%,Настроение,Умение отличить лицемерие или искренность в добродушии.,ЛРЗД
26,C4C5C5C7. T1T2T3T7T8. L3L4L5. S (S1),13,52%,Одинокий парус,Умение самостоятельно идти по жизни.,ЛРЗДФБ
27,C3C4. T3T4T5T6T7T8T9T10 L4L5,13,52%,Отражение осени,"Умение смотреть в прошлое, с благодарностью и без обиды.",ЗДСМ
28,C1C2C3C4C5C6C7. T1 L1L2L3L4L5. S (S1 S2),14,56%,Париж,Умение быть искренним с самим собой.,ЗДФБ
